epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,0.821490,0.759009,0.287904,0.910460,0.908213
2,0.072454,0.981724,0.098582,0.967011,0.967234
3,0.036309,0.990977,0.209536,0.931379,0.933125
4,0.026812,0.993391,0.085545,0.971034,0.971223
5,0.024496,0.993506,0.052891,0.982184,0.982266
6,0.022240,0.994037,0.026106,0.992989,0.992974
7,0.018342,0.995129,0.022735,0.996207,0.996212
8,0.018517,0.994828,0.045663,0.986897,0.986909
9,0.015170,0.995733,0.019292,0.994483,0.994471
10,0.017098,0.994986,0.250122,0.918621,0.912202
